time,EXT_TMP,EXT_WIND_DIRECT,EXT_WIND_SPEED,INT_CO2,INT_REL_HD,INT_TMP,MAX_EXT_TMP,MIN_EXT_TMP
2021-07-01 10:30:00+00:00,26.76,270.0,0.62,316.5,49.66,19.29,27.4,25.6
2021-07-01 10:40:00+00:00,26.8,270.0,0.97,314.7,48.07,19.7,27.7,26.1
2021-07-01 10:50:00+00:00,28.82,270.0,0.47,308.2,46.75,19.85,29.4,27.7
2021-07-01 11:00:00+00:00,27.33,270.0,1.16,351.5,64.33,31.25,28.2,27.1
2021-07-01 11:10:00+00:00,27.3,90.0,0.61,310.3,44.19,20.09,27.6,27.0
2021-07-01 11:20:00+00:00,27.61,270.0,0.84,305.6,45.19,20.26,27.9,27.1
2021-07-01 11:30:00+00:00,27.77,270.0,1.16,306.2,44.72,20.3,28.2,27.5
2021-07-01 11:40:00+00:00,28.01,270.0,1.22,300.9,45.97,20.26,28.3,27.6
2021-07-01 11:50:00+00:00,28.04,270.0,1.01,290.9,45.27,20.58,28.6,27.6
2021-07-01 12:00:00+00:00,29.75,270.0,1.87,301.08,66.83,31.92,29.7,28.3
2021-07-01 12:10:00+00:00,28.72,270.0,0.79,304.7,43.83,20.99,29.2,28.4
2021-07-01 12:20:00+00:00,28.81,270.0,1.26,294.9,44.75,21.26,29.3,28.5
2021-07-01 12:30:00+00:00,28.43,270.0,0.94,305.7,44.64,20.72,28.8,28.1
2021-07-01 12:40:00+00:00,29.96,270.0,0.45,300.9,44.99,20.65,31.6,28.7
2021-07-01 12:50:00+00:00,30.67,270.0,0.63,293.0,44.77,21.22,32.2,30.1
2021-07-01 13:00:00+00:00,30.0,90.0,2.0,243.33,65.5,31.67,30.6,29.3
2021-07-01 13:10:00+00:00,31.13,270.0,0.58,292.4,43.96,21.35,32.0,29.7
2021-07-01 13:20:00+00:00,31.18,270.0,0.73,275.0,45.3,21.75,32.4,29.6
2021-07-01 13:30:00+00:00,30.94,270.0,1.04,297.4,43.64,21.4,32.0,30.1
2021-07-01 13:40:00+00:00,29.55,270.0,1.44,296.9,44.83,20.77,30.4,29.1
2021-07-01 13:50:00+00:00,28.74,270.0,2.0,283.4,46.67,20.78,29.2,28.4
2021-07-01 14:00:00+00:00,30.42,90.0,3.06,386.83,60.08,33.33,28.9,28.2
2021-07-01 14:10:00+00:00,28.7,90.0,1.55,289.8,47.77,20.08,29.3,28.3
2021-07-01 14:20:00+00:00,29.62,90.0,1.51,292.4,45.58,20.87,29.7,29.5
2021-07-01 14:30:00+00:00,29.36,90.0,1.3,283.9,44.48,21.0,29.7,29.1
2021-07-01 14:40:00+00:00,28.98,270.0,1.35,290.4,47.34,20.29,29.4,28.6
2021-07-01 14:50:00+00:00,28.94,270.0,1.0,297.0,48.12,19.57,29.5,28.5
2021-07-01 15:00:00+00:00,30.33,90.0,1.66,334.5,58.67,33.58,29.1,28.5
2021-07-01 15:10:00+00:00,28.66,90.0,0.86,297.8,48.88,18.86,28.9,28.5
2021-07-01 15:20:00+00:00,29.23,90.0,1.37,299.5,46.79,19.5,29.6,28.8
2021-07-01 15:30:00+00:00,29.26,90.0,1.23,303.0,47.54,19.76,29.5,29.0
2021-07-01 15:40:00+00:00,28.57,90.0,1.17,294.6,48.04,19.1,29.0,28.3
2021-07-01 15:50:00+00:00,28.86,90.0,1.76,302.9,48.61,19.18,29.2,28.5
2021-07-01 16:00:00+00:00,30.5,90.0,1.9,258.08,55.42,32.58,29.2,28.3
2021-07-01 16:10:00+00:00,29.06,90.0,1.61,307.0,47.0,19.82,29.5,28.5
2021-07-01 16:20:00+00:00,28.53,90.0,2.05,304.3,48.32,19.37,28.7,28.4
2021-07-01 16:30:00+00:00,28.93,90.0,1.55,309.3,46.95,19.55,29.3,28.7
